N:40 M:400 mean:30.255078125 std:0.0206661576649322 time:45.10523819923401
N:80 M:800 mean:60.77359375 std:0.020463082916588392 time:98.62007355690002
N:120 M:1200 mean:91.09375 std:0.020701372436303052 time:115.19163942337036
N:160 M:1600 mean:121.6200390625 std:0.019890175429999844 time:134.4420120716095
N:200 M:2000 mean:151.9338125 std:0.020467414985089714 time:204.2447566986084
N:240 M:2400 mean:182.5221875 std:0.01891086842408226 time:248.22396206855774
N:280 M:2800 mean:212.85013392857144 std:0.019577442660680764 time:273.7372419834137
N:320 M:3200 mean:243.4233984375 std:0.018953436349699957 time:369.80192589759827
N:360 M:3600 mean:273.78671875 std:0.019409842084174476 time:398.54189372062683
